,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
449,3mm,128,0.52,0.08390985239536833,1.0,0.6064690026954178,128,206442,No pillars
450,3mm,128,3.09,0.06623064030168767,1.0,0.5102286401925391,128,1260325,No pillars
451,3mm,128,1.57,0.07639097461578039,1.0,0.3892668178382464,128,575560,No pillars
452,3mm,128,0.68,0.08191239696257484,1.0,0.3911671924290221,128,259593,No pillars
453,3mm,128,1.57,0.07263139889591931,1.0,0.4886515353805073,128,981525,No pillars
454,3mm,128,3.09,0.08697313431278665,1.0,0.2130841121495327,128,2042653,No pillars
455,3mm,128,5.61,0.027415512763136668,0.998003992015968,0.10594456601021153,128,600290,No pillars
456,3mm,128,3.09,0.048632986213665595,1.0,0.4632438739789965,126,1109286,Thin pillars
457,3mm,128,0.52,0.10626263456492112,0.9900199600798403,0.6502732240437158,128,195727,Thin pillars
458,3mm,128,3.09,0.055011978231634395,0.9920159680638723,0.42363510711817554,128,1073500,Thin pillars
459,3mm,128,1.57,0.054745453347740135,1.0,0.5380029806259314,127,562773,Thin pillars
460,3mm,128,0.68,0.10400799893790105,1.0,0.3808864265927978,128,258910,Thin pillars
461,3mm,128,1.57,0.05609172524810831,1.0,0.5554202192448234,120,1002260,Thin pillars
462,3mm,128,3.09,0.06986790563114348,0.994,0.19106047326906223,127,1663440,Thin pillars
463,3mm,128,5.61,0.05380640076190826,1.0,0.11200661293655714,124,577687,Thin pillars
464,3mm,128,3.09,0.05321144213330602,1.0,0.3436123348017621,126,1175533,Thin pillars
465,3mm,128,0.52,0.10616954604150086,1.0,0.31837307152875177,128,220839,Thin pillars
466,3mm,128,3.09,0.047021715747699686,0.9960079840319361,0.18170656844689995,126,1164207,Thin pillars
467,3mm,128,1.57,0.12410257848206394,1.0,0.09265667051134178,126,532986,Thin pillars
468,3mm,128,0.68,0.10310751085746575,1.0,0.429097605893186,123,272630,Thin pillars
469,3mm,128,1.57,0.07355845775716567,1.0,0.47038123167155427,123,1043200,Thin pillars
470,3mm,128,3.09,0.05591744104305457,1.0,0.1490496832277426,128,1737970,Thin pillars
471,3mm,128,5.61,0.04314615603345787,1.0,0.2495583038869258,124,602350,Thin pillars
472,3mm,128,3.09,0.048358264272349016,1.0,0.4879679144385027,127,1118935,Thin pillars
473,3mm,128,0.52,0.08123934858676635,1.0,0.665083135391924,128,204983,Thin pillars
474,3mm,128,3.09,0.06060403376652389,1.0,0.4539951573849879,125,1108252,Thin pillars
475,3mm,128,1.57,0.06873559299457178,1.0,0.4883268482490272,127,563012,Thin pillars
476,3mm,128,0.68,0.07542599452835204,1.0,0.376425855513308,128,259576,Thin pillars
477,3mm,128,1.57,0.06844990393915042,0.998003992015968,0.6395348837209303,118,793833,Thin pillars
478,3mm,128,3.09,0.06592829989827857,0.996,0.12304250559284116,126,1629354,Thin pillars
479,3mm,128,5.61,0.1323052710111789,0.9860279441117764,0.04636290967226219,124,577274,Thin pillars
480,3mm,128,3.09,0.04359526170574892,0.996,0.42400690846286704,117,1006996,Thick pillars
481,3mm,128,0.52,0.156558318826811,0.9940119760479041,0.6847826086956522,128,194811,Thick pillars
482,3mm,128,3.09,0.04138351843221482,1.0,0.4297520661157025,118,980439,Thick pillars
483,3mm,128,1.57,0.05319818738460019,1.0,0.3731911652703732,120,557537,Thick pillars
484,3mm,128,0.68,0.10489021718943084,0.9960079840319361,0.4395973154362416,128,257694,Thick pillars
485,3mm,128,1.57,0.05501046054328099,1.0,0.5844700944386149,114,859393,Thick pillars
486,3mm,128,3.09,0.055883753033123665,0.998,0.15011990407673861,116,1417546,Thick pillars
487,3mm,128,5.61,0.05139479431072693,0.9920159680638723,0.11673151750972763,120,566910,Thick pillars
488,3mm,128,3.09,0.03990370705791649,0.994,0.3871669385535617,121,1093872,Thick pillars
489,3mm,128,0.52,0.06369008584415513,0.9920159680638723,0.38461538461538464,128,220839,Thick pillars
490,3mm,128,3.09,0.0643716589207934,0.9900199600798403,0.15301441677588468,123,1105031,Thick pillars
491,3mm,128,1.57,0.16675765186930724,1.0,0.09378574151734655,120,511630,Thick pillars
492,3mm,128,0.68,0.09819157063144857,1.0,0.43729263437292637,120,269647,Thick pillars
493,3mm,128,1.57,0.07820604418649442,1.0,0.4352701325178389,115,917994,Thick pillars
494,3mm,128,3.09,0.055174713499091754,1.0,0.10580204778156997,120,1505267,Thick pillars
495,3mm,128,5.61,0.04801464439132651,0.998003992015968,0.2119524870081663,120,585128,Thick pillars
496,3mm,128,3.09,0.040545167213305776,1.0,0.541089566020314,117,1025702,Thick pillars
497,3mm,128,0.52,0.07866612822531577,1.0,0.696,128,203747,Thick pillars
498,3mm,128,3.09,0.06174171842299204,0.9940119760479041,0.4261576971214018,118,992228,Thick pillars
499,3mm,128,1.57,0.05655831212434389,1.0,0.4009397024275646,120,556951,Thick pillars
500,3mm,128,0.68,0.09369433398122291,0.998003992015968,0.5617198335644937,128,259487,Thick pillars
501,3mm,128,1.57,0.0687695823115662,1.0,0.5675675675675675,111,669210,Thick pillars
502,3mm,128,3.09,0.1203973051360654,0.994,0.079002079002079,116,1383574,Thick pillars
503,3mm,128,5.61,0.292166297456127,0.9620758483033932,0.060964230171073094,120,563452,Thick pillars
504,3mm,64,3.09,0.041625369153211626,1.0,0.7246913580246913,64,628840,No pillars
505,3mm,64,0.52,0.10621106430072834,1.0,0.511578947368421,64,98085,No pillars
506,3mm,64,3.09,0.05582175395752219,1.0,0.5348837209302325,64,592987,No pillars
507,3mm,64,1.57,0.08018107283060708,1.0,0.4536652835408022,64,287888,No pillars
508,3mm,64,0.68,0.08993695987968803,1.0,0.4676646706586826,64,129766,No pillars
509,3mm,64,1.57,0.07279244557436391,1.0,0.3736673773987207,64,622339,No pillars
510,3mm,64,3.09,0.04107683972474455,1.0,0.39285714285714285,64,1030880,No pillars
511,3mm,64,5.61,0.05971167084832912,1.0,0.1778975741239892,64,297128,No pillars
512,3mm,64,3.09,0.04408358345562047,0.996,0.34921145799806885,64,646154,No pillars
513,3mm,64,0.52,0.13365590039120578,1.0,0.4312647289866457,64,110300,No pillars
514,3mm,64,3.09,0.041158748515529905,1.0,0.2907646474677259,64,623202,No pillars
515,3mm,64,1.57,0.1140153334202243,0.994,0.18679138321995464,64,282974,No pillars
516,3mm,64,0.68,0.0874477873321301,1.0,0.581570996978852,64,141597,No pillars
517,3mm,64,1.57,0.14308493435757622,1.0,0.32786885245901637,64,625383,No pillars
518,3mm,64,3.09,0.03642618447042532,1.0,0.2332236009116232,64,1053162,No pillars
519,3mm,64,5.61,0.03651876508390655,1.0,0.19574373753048105,64,316035,No pillars
520,3mm,64,3.09,0.04571053566412895,1.0,0.6629793510324484,64,622490,No pillars
521,3mm,64,0.52,0.10974010906033532,1.0,0.4642857142857143,64,103051,No pillars
522,3mm,64,3.09,0.05315403625959095,1.0,0.5514360313315927,64,630042,No pillars
523,3mm,64,1.57,0.06540043108597744,1.0,0.33095238095238094,64,287378,No pillars
524,3mm,64,0.68,0.08184120783322923,1.0,0.5724543080939948,64,129675,No pillars
525,3mm,64,1.57,0.07570320499573843,0.9960079840319361,0.31053811659192826,64,491064,No pillars
526,3mm,64,3.09,0.04314435300549889,1.0,0.1611042439225381,64,1022205,No pillars
527,3mm,64,5.61,0.0649139736597887,0.998003992015968,0.09271735643246712,64,299836,No pillars
528,3mm,64,3.09,0.04267945999339666,1.0,0.402803738317757,64,552701,Thin pillars
529,3mm,64,0.52,0.1224525201818104,1.0,0.5269953051643192,64,97693,Thin pillars
530,3mm,64,3.09,0.05768143908464232,0.9900199600798403,0.2753623188405797,64,536358,Thin pillars
531,3mm,64,1.57,0.05873382809756312,1.0,0.43521388716677,64,281151,Thin pillars
532,3mm,64,0.68,0.09108081399583731,1.0,0.6041426927502876,64,129293,Thin pillars
533,3mm,64,1.57,0.07532357987569636,1.0,0.29065565307176044,59,505411,Thin pillars
534,3mm,64,3.09,0.051664493836759355,1.0,0.21743161798794622,63,831958,Thin pillars
535,3mm,64,5.61,0.04830002877609362,1.0,0.17437722419928825,62,288269,Thin pillars
536,3mm,64,3.09,0.04207193219209368,1.0,0.32399844418514195,63,583760,Thin pillars
537,3mm,64,0.52,0.11916616989746534,1.0,0.4206730769230769,64,110298,Thin pillars
538,3mm,64,3.09,0.05153097385187255,1.0,0.26445056108405673,63,577367,Thin pillars
539,3mm,64,1.57,0.12506749171539064,0.998,0.14549938347718866,64,267377,Thin pillars
540,3mm,64,0.68,0.09277566583739581,1.0,0.4969512195121951,63,136059,Thin pillars
541,3mm,64,1.57,0.08671193398179354,1.0,0.28272251308900526,62,517448,Thin pillars
